Vakances_Nr,Aktualizacijas_datums,Iestades_registracijas_numurs,Vakances_nosaukums,Vakances_kategorija,Alga_no,Alga_lidz,Slodzes_tips,Darba_laika_veids,Darba_stundas_nedela,Pieteiksanas_termins,Attels,Vieta,Vakances_paplasinats_apraksts
251128-61,2025-11-28,90000022308,APKOPĒJS,Izglītība / Zinātne,750.000,780.000,Viena vesela slodze,Normālais darba laiks,40,2026-01-30,"","Tomsona iela 37, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/434913186
251126-13,2025-11-26,40900012577,PIRMSSKOLAS IZGLĪTĪBAS SKOLOTĀJS,Izglītība / Zinātne,1310.100,1310.100,"",Maiņu darbs,34,2026-01-31,"","Ilūkstes iela 101 k-4, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/434605591
260117-9,2026-01-17,90000035266,SOCIĀLAIS DARBINIEKS,Veselības aprūpe / Sociālā aprūpe,1220.000,1220.000,Viena vesela slodze,Normālais darba laiks,"",2026-01-31,"","Eduarda Veidenbauma iela 3, Liepāja",https://cvvp.nva.gov.lv/#/pub/vakances/439151498
260117-13,2026-01-17,90000035266,SOCIĀLAIS DARBINIEKS DARBAM AR ĢIMENI UN BĒRNIEM,Veselības aprūpe / Sociālā aprūpe,1290.000,1290.000,Viena vesela slodze,Normālais darba laiks,"",2026-01-31,"","Eduarda Veidenbauma iela 3, Liepāja",https://cvvp.nva.gov.lv/#/pub/vakances/439152742
260117-15,2026-01-17,90000035266,PROJEKTA VADĪTĀJS,Veselības aprūpe / Sociālā aprūpe,1400.000,1400.000,Viena vesela slodze,Normālais darba laiks,"",2026-01-31,"","Eduarda Veidenbauma iela 3, Liepāja",https://cvvp.nva.gov.lv/#/pub/vakances/439154733
260117-18,2026-01-17,90000035266,JURISTS,Veselības aprūpe / Sociālā aprūpe,1423.000,1423.000,Viena vesela slodze,Normālais darba laiks,"",2026-01-31,"","Eduarda Veidenbauma iela 3, Liepāja",https://cvvp.nva.gov.lv/#/pub/vakances/439158091
260116-43,2026-01-16,90001517332,SAIMNIECĪBAS STRUKTŪRVIENĪBAS VADĪTĀJS /DIREKTORS /PRIEKŠNIEKS,Cita,2030.000,2030.000,Viena vesela slodze,Normālais darba laiks,40,2026-01-30,"","Akmeņu iela 3, Ventspils",https://cvvp.nva.gov.lv/#/pub/vakances/439041161
260106-247,2026-01-06,90009202794,SOCIĀLĀS PALĪDZĪBAS ORGANIZATORS,Veselības aprūpe / Sociālā aprūpe,1200.000,1200.000,Viena vesela slodze,"","",2026-01-19,"","Salnas iela 2, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/437921690
260106-249,2026-01-06,90009202794,SOCIĀLĀS PALĪDZĪBAS ORGANIZATORS,Veselības aprūpe / Sociālā aprūpe,1200.000,1200.000,"","","",2026-01-19,"","Baldones iela 2, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/437922230
260106-245,2026-01-06,90009202794,SOCIĀLĀS PALĪDZĪBAS ORGANIZATORS,Vadība / Administrēšana,1200.000,1200.000,Viena vesela slodze,Normālais darba laiks,"",2026-01-19,"","Hanzas iela 7, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/437921179
260106-253,2026-01-06,90009202794,SOCIĀLAIS DARBINIEKS,Veselības aprūpe / Sociālā aprūpe,1352.000,1352.000,Viena vesela slodze,"","",2026-01-19,"","Eduarda Smiļģa iela 46, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/437923636
260106-255,2026-01-06,90009202794,SOCIĀLAIS DARBINIEKS,Veselības aprūpe / Sociālā aprūpe,1352.000,1352.000,Viena vesela slodze,"","",2026-01-19,"","Daugavpils iela 31, Rīga",https://cvvp.nva.gov.lv/#/pub/vakances/437924317
